Tipo de delito;Sexo del infractor;Lugar de condena;Total
6.2. De las amenazas;Mujer;Navarra (Comunidad Foral de);4
6.2. De las amenazas;Mujer;País Vasco;5
6.2. De las amenazas;Mujer;Rioja (La);4
6.2. De las amenazas;Mujer;Ceuta;0
6.2. De las amenazas;Mujer;Melilla;3
6.3. De las coacciones;Total;Total;1.093
6.3. De las coacciones;Total;Andalucía;217
6.3. De las coacciones;Total;Aragón;36
6.3. De las coacciones;Total;Asturias (Principado de);29
6.3. De las coacciones;Total;Balears (Illes);92
6.3. De las coacciones;Total;Canarias;51
6.3. De las coacciones;Total;Cantabria;8
6.3. De las coacciones;Total;Castilla y León;51
6.3. De las coacciones;Total;Castilla-La Mancha;42
6.3. De las coacciones;Total;Cataluña;142
6.3. De las coacciones;Total;Comunitat Valenciana;110
6.3. De las coacciones;Total;Extremadura;20
6.3. De las coacciones;Total;Galicia;70
6.3. De las coacciones;Total;Madrid (Comunidad de)(1);89
6.3. De las coacciones;Total;Murcia (Región de);40
6.3. De las coacciones;Total;Navarra (Comunidad Foral de);30
6.3. De las coacciones;Total;País Vasco;58
6.3. De las coacciones;Total;Rioja (La);6
6.3. De las coacciones;Total;Ceuta;1
6.3. De las coacciones;Total;Melilla;1
6.3. De las coacciones;Varón;Total;1.047
6.3. De las coacciones;Varón;Andalucía;209
6.3. De las coacciones;Varón;Aragón;32
6.3. De las coacciones;Varón;Asturias (Principado de);29
6.3. De las coacciones;Varón;Balears (Illes);89
6.3. De las coacciones;Varón;Canarias;48
6.3. De las coacciones;Varón;Cantabria;8
6.3. De las coacciones;Varón;Castilla y León;50
6.3. De las coacciones;Varón;Castilla-La Mancha;41
6.3. De las coacciones;Varón;Cataluña;134
6.3. De las coacciones;Varón;Comunitat Valenciana;108
6.3. De las coacciones;Varón;Extremadura;19
6.3. De las coacciones;Varón;Galicia;67
