Comunidades y ciudades autónomas;Sexo;Edad;Periodo;
02 Aragón;Total;De 18 a 20 años;2019;556
02 Aragón;Total;De 18 a 20 años;2018;546
02 Aragón;Total;De 18 a 20 años;2017;592
02 Aragón;Total;De 18 a 20 años;2016;584
02 Aragón;Total;De 18 a 20 años;2015;537
02 Aragón;Total;De 18 a 20 años;2014;415
02 Aragón;Total;De 18 a 20 años;2013;366
02 Aragón;Total;De 21 a 25 años;2019;903
02 Aragón;Total;De 21 a 25 años;2018;858
02 Aragón;Total;De 21 a 25 años;2017;899
02 Aragón;Total;De 21 a 25 años;2016;954
02 Aragón;Total;De 21 a 25 años;2015;785
02 Aragón;Total;De 21 a 25 años;2014;730
02 Aragón;Total;De 21 a 25 años;2013;754
02 Aragón;Total;De 26 a 30 años;2019;860
02 Aragón;Total;De 26 a 30 años;2018;861
02 Aragón;Total;De 26 a 30 años;2017;882
02 Aragón;Total;De 26 a 30 años;2016;925
02 Aragón;Total;De 26 a 30 años;2015;824
02 Aragón;Total;De 26 a 30 años;2014;827
02 Aragón;Total;De 26 a 30 años;2013;791
02 Aragón;Total;De 31 a 35 años;2019;915
02 Aragón;Total;De 31 a 35 años;2018;907
02 Aragón;Total;De 31 a 35 años;2017;927
02 Aragón;Total;De 31 a 35 años;2016;936
02 Aragón;Total;De 31 a 35 años;2015;762
02 Aragón;Total;De 31 a 35 años;2014;800
02 Aragón;Total;De 31 a 35 años;2013;790
02 Aragón;Total;De 36 a 40 años;2019;993
02 Aragón;Total;De 36 a 40 años;2018;939
02 Aragón;Total;De 36 a 40 años;2017;970
02 Aragón;Total;De 36 a 40 años;2016;894
02 Aragón;Total;De 36 a 40 años;2015;750
02 Aragón;Total;De 36 a 40 años;2014;714
02 Aragón;Total;De 36 a 40 años;2013;717
02 Aragón;Total;De 41 a 50 años;2019;1.461
02 Aragón;Total;De 41 a 50 años;2018;1.391
02 Aragón;Total;De 41 a 50 años;2017;1.351
02 Aragón;Total;De 41 a 50 años;2016;1.432
02 Aragón;Total;De 41 a 50 años;2015;1.136
02 Aragón;Total;De 41 a 50 años;2014;1.034
02 Aragón;Total;De 41 a 50 años;2013;956
02 Aragón;Total;De 51 a 60 años;2019;753
